NAME,Age,Minority,Output,Population
Georgia,Age 65 to 74 years,Total persons,Margin of Error,1016
Georgia,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,544465
Georgia,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,172
Georgia,Age 65 to 74 years,Other,Estimate,221095
Georgia,Age 65 to 74 years,Other,Margin of Error,1013
Georgia,Age 75 years and over,Total persons,Estimate,480740
Georgia,Age 75 years and over,Total persons,Margin of Error,985
Georgia,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,361490
Georgia,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,169
Georgia,Age 75 years and over,Other,Estimate,119250
Georgia,Age 75 years and over,Other,Margin of Error,988
Hawaii,"Total, all ages",Total persons,Estimate,1413675
Hawaii,"Total, all ages","White alone, not Hispanic/Latino",Estimate,316285
Hawaii,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,287
Hawaii,"Total, all ages",Other,Estimate,1097390
Hawaii,"Total, all ages",Other,Margin of Error,288
Hawaii,Age 0 to 16 years,Total persons,Estimate,275870
Hawaii,Age 0 to 16 years,Total persons,Margin of Error,721
Hawaii,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,38675
Hawaii,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,266
Hawaii,Age 0 to 16 years,Other,Estimate,237190
Hawaii,Age 0 to 16 years,Other,Margin of Error,683
Hawaii,Age 16 and 17 years,Total persons,Estimate,32345
Hawaii,Age 16 and 17 years,Total persons,Margin of Error,717
Hawaii,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,3660
Hawaii,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,233
Hawaii,Age 16 and 17 years,Other,Estimate,28690
Hawaii,Age 16 and 17 years,Other,Margin of Error,715
Hawaii,Age 18 to 20 years,Total persons,Estimate,51115
Hawaii,Age 18 to 20 years,Total persons,Margin of Error,779
Hawaii,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,9605
Hawaii,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,386
Hawaii,Age 18 to 20 years,Other,Estimate,41510
Hawaii,Age 18 to 20 years,Other,Margin of Error,798
Hawaii,Age 21 to 24 years,Total persons,Estimate,81395
Hawaii,Age 21 to 24 years,Total persons,Margin of Error,794
Hawaii,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,19725
Hawaii,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,382
Hawaii,Age 21 to 24 years,Other,Estimate,61670
Hawaii,Age 21 to 24 years,Other,Margin of Error,809
Hawaii,Age 25 to 34 years,Total persons,Estimate,203250
Hawaii,Age 25 to 34 years,Total persons,Margin of Error,248
Hawaii,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,50655
Hawaii,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,89
Hawaii,Age 25 to 34 years,Other,Estimate,152595
Hawaii,Age 25 to 34 years,Other,Margin of Error,265
Hawaii,Age 35 to 44 years,Total persons,Estimate,176240
Hawaii,Age 35 to 44 years,Total persons,Margin of Error,234
Hawaii,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,38915
Hawaii,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,102
Hawaii,Age 35 to 44 years,Other,Estimate,137325
Hawaii,Age 35 to 44 years,Other,Margin of Error,243
Hawaii,Age 45 to 59 years,Total persons,Estimate,277095
Hawaii,Age 45 to 59 years,Total persons,Margin of Error,1395
Hawaii,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,68765
Hawaii,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,702
Hawaii,Age 45 to 59 years,Other,Estimate,208330
Hawaii,Age 45 to 59 years,Other,Margin of Error,1136
Hawaii,Age 60 to 64 years,Total persons,Estimate,88750
Hawaii,Age 60 to 64 years,Total persons,Margin of Error,1414
Hawaii,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,26340
Hawaii,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,693
Hawaii,Age 60 to 64 years,Other,Estimate,62410
Hawaii,Age 60 to 64 years,Other,Margin of Error,1160
Hawaii,Age 65 to 74 years,Total persons,Estimate,126470
Hawaii,Age 65 to 74 years,Total persons,Margin of Error,141
Hawaii,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,38310
Hawaii,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,55
Hawaii,Age 65 to 74 years,Other,Estimate,88160
Hawaii,Age 65 to 74 years,Other,Margin of Error,152
Hawaii,Age 75 years and over,Total persons,Estimate,101140
Hawaii,Age 75 years and over,Total persons,Margin of Error,110
Hawaii,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,21635
Hawaii,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,69
Hawaii,Age 75 years and over,Other,Estimate,79510
Hawaii,Age 75 years and over,Other,Margin of Error,125
Idaho,"Total, all ages",Total persons,Estimate,1635485
Idaho,"Total, all ages","White alone, not Hispanic/Latino",Estimate,1355895
Idaho,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,322
Idaho,"Total, all ages",Other,Estimate,279585
Idaho,"Total, all ages",Other,Margin of Error,322
Idaho,Age 0 to 16 years,Total persons,Estimate,384210
Idaho,Age 0 to 16 years,Total persons,Margin of Error,1073
Idaho,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,290405
Idaho,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,917
Idaho,Age 0 to 16 years,Other,Estimate,93805
Idaho,Age 0 to 16 years,Other,Margin of Error,577
Idaho,Age 16 and 17 years,Total persons,Estimate,47110
Idaho,Age 16 and 17 years,Total persons,Margin of Error,1008
Idaho,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,35985
Idaho,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,902
Idaho,Age 16 and 17 years,Other,Estimate,11125
Idaho,Age 16 and 17 years,Other,Margin of Error,463
Idaho,Age 18 to 20 years,Total persons,Estimate,68525
Idaho,Age 18 to 20 years,Total persons,Margin of Error,1448
Idaho,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,51995
Idaho,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1141
Idaho,Age 18 to 20 years,Other,Estimate,16530
Idaho,Age 18 to 20 years,Other,Margin of Error,691
Idaho,Age 21 to 24 years,Total persons,Estimate,88035
Idaho,Age 21 to 24 years,Total persons,Margin of Error,1367
Idaho,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,68990
Idaho,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1101
Idaho,Age 21 to 24 years,Other,Estimate,19045
Idaho,Age 21 to 24 years,Other,Margin of Error,722
Idaho,Age 25 to 34 years,Total persons,Estimate,214280
Idaho,Age 25 to 34 years,Total persons,Margin of Error,784
Idaho,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,171555
Idaho,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,314
Idaho,Age 25 to 34 years,Other,Estimate,42720
Idaho,Age 25 to 34 years,Other,Margin of Error,715
Idaho,Age 35 to 44 years,Total persons,Estimate,200435
Idaho,Age 35 to 44 years,Total persons,Margin of Error,699
Idaho,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,164360
Idaho,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,179
Idaho,Age 35 to 44 years,Other,Estimate,36075
Idaho,Age 35 to 44 years,Other,Margin of Error,708
Idaho,Age 45 to 59 years,Total persons,Estimate,301610
Idaho,Age 45 to 59 years,Total persons,Margin of Error,1908
Idaho,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,263455
Idaho,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,1622
Idaho,Age 45 to 59 years,Other,Estimate,38155
Idaho,Age 45 to 59 years,Other,Margin of Error,915
Idaho,Age 60 to 64 years,Total persons,Estimate,97940
Idaho,Age 60 to 64 years,Total persons,Margin of Error,1718
Idaho,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,90070
Idaho,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,1611
Idaho,Age 60 to 64 years,Other,Estimate,7870
Idaho,Age 60 to 64 years,Other,Margin of Error,416
Idaho,Age 65 to 74 years,Total persons,Estimate,139140
Idaho,Age 65 to 74 years,Total persons,Margin of Error,469
Idaho,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,129275
Idaho,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,91
Idaho,Age 65 to 74 years,Other,Estimate,9865
Idaho,Age 65 to 74 years,Other,Margin of Error,492
Idaho,Age 75 years and over,Total persons,Estimate,94205
Idaho,Age 75 years and over,Total persons,Margin of Error,329
Idaho,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,89810
Idaho,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,44
Idaho,Age 75 years and over,Other,Estimate,4395
Idaho,Age 75 years and over,Other,Margin of Error,334
Illinois,"Total, all ages",Total persons,Estimate,12851685
Illinois,"Total, all ages","White alone, not Hispanic/Latino",Estimate,7996855
Illinois,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,1824
Illinois,"Total, all ages",Other,Estimate,4854830
Illinois,"Total, all ages",Other,Margin of Error,1825
Illinois,Age 0 to 16 years,Total persons,Estimate,2644915
Illinois,Age 0 to 16 years,Total persons,Margin of Error,2177
Illinois,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,1363230
Illinois,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1713
Illinois,Age 0 to 16 years,Other,Estimate,1281690
Illinois,Age 0 to 16 years,Other,Margin of Error,1725
Illinois,Age 16 and 17 years,Total persons,Estimate,345715
Illinois,Age 16 and 17 years,Total persons,Margin of Error,2146
Illinois,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,188145
Illinois,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1621
Illinois,Age 16 and 17 years,Other,Estimate,157570
Illinois,Age 16 and 17 years,Other,Margin of Error,1464
Illinois,Age 18 to 20 years,Total persons,Estimate,526275
Illinois,Age 18 to 20 years,Total persons,Margin of Error,2940
Illinois,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,282325
Illinois,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,2007
Illinois,Age 18 to 20 years,Other,Estimate,243950
Illinois,Age 18 to 20 years,Other,Margin of Error,2271
Illinois,Age 21 to 24 years,Total persons,Estimate,716495
Illinois,Age 21 to 24 years,Total persons,Margin of Error,2781
Illinois,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,398975
Illinois,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1949
Illinois,Age 21 to 24 years,Other,Estimate,317520
Illinois,Age 21 to 24 years,Other,Margin of Error,2045
Illinois,Age 25 to 34 years,Total persons,Estimate,1780280
Illinois,Age 25 to 34 years,Total persons,Margin of Error,999
Illinois,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,1035460
Illinois,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,612
Illinois,Age 25 to 34 years,Other,Estimate,744820
Illinois,Age 25 to 34 years,Other,Margin of Error,1057
Illinois,Age 35 to 44 years,Total persons,Estimate,1672365
Illinois,Age 35 to 44 years,Total persons,Margin of Error,837
Illinois,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,978435
Illinois,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,372
Illinois,Age 35 to 44 years,Other,Estimate,693930
Illinois,Age 35 to 44 years,Other,Margin of Error,928
Illinois,Age 45 to 59 years,Total persons,Estimate,2631750
Illinois,Age 45 to 59 years,Total persons,Margin of Error,4351
Illinois,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,1808195
Illinois,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,3481
Illinois,Age 45 to 59 years,Other,Estimate,823555
Illinois,Age 45 to 59 years,Other,Margin of Error,2627
Illinois,Age 60 to 64 years,Total persons,Estimate,749795
Illinois,Age 60 to 64 years,Total persons,Margin of Error,4222
Illinois,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,551410
Illinois,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,3416
Illinois,Age 60 to 64 years,Other,Estimate,198385
Illinois,Age 60 to 64 years,Other,Margin of Error,2466
Illinois,Age 65 to 74 years,Total persons,Estimate,1000235
Illinois,Age 65 to 74 years,Total persons,Margin of Error,522
Illinois,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,759155
Illinois,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,212
Illinois,Age 65 to 74 years,Other,Estimate,241080
Illinois,Age 65 to 74 years,Other,Margin of Error,565
Illinois,Age 75 years and over,Total persons,Estimate,783860
Illinois,Age 75 years and over,Total persons,Margin of Error,497
Illinois,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,631530
Illinois,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,136
Illinois,Age 75 years and over,Other,Estimate,152330
Illinois,Age 75 years and over,Other,Margin of Error,515
Indiana,"Total, all ages",Total persons,Estimate,6589580
Indiana,"Total, all ages","White alone, not Hispanic/Latino",Estimate,5284680
Indiana,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,1025
Indiana,"Total, all ages",Other,Estimate,1304900
Indiana,"Total, all ages",Other,Margin of Error,1027
Indiana,Age 0 to 16 years,Total persons,Estimate,1403785
Indiana,Age 0 to 16 years,Total persons,Margin of Error,1840
Indiana,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,1008815
Indiana,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1407
Indiana,Age 0 to 16 years,Other,Estimate,394970
Indiana,Age 0 to 16 years,Other,Margin of Error,1317
Indiana,Age 16 and 17 years,Total persons,Estimate,178205
Indiana,Age 16 and 17 years,Total persons,Margin of Error,1657
Indiana,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,134555
Indiana,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1247
Indiana,Age 16 and 17 years,Other,Estimate,43655
Indiana,Age 16 and 17 years,Other,Margin of Error,1066
Indiana,Age 18 to 20 years,Total persons,Estimate,289015
Indiana,Age 18 to 20 years,Total persons,Margin of Error,2741
Indiana,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,215865
Indiana,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1985
Indiana,Age 18 to 20 years,Other,Estimate,73155
Indiana,Age 18 to 20 years,Other,Margin of Error,1662
Indiana,Age 21 to 24 years,Total persons,Estimate,378885
Indiana,Age 21 to 24 years,Total persons,Margin of Error,2823
Indiana,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,288800
Indiana,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1955
Indiana,Age 21 to 24 years,Other,Estimate,90085
Indiana,Age 21 to 24 years,Other,Margin of Error,1670
Indiana,Age 25 to 34 years,Total persons,Estimate,845710
Indiana,Age 25 to 34 years,Total persons,Margin of Error,1161
Indiana,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,652550
Indiana,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,271
Indiana,Age 25 to 34 years,Other,Estimate,193160
Indiana,Age 25 to 34 years,Other,Margin of Error,1197
Indiana,Age 35 to 44 years,Total persons,Estimate,822045
Indiana,Age 35 to 44 years,Total persons,Margin of Error,1117
Indiana,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,647080
Indiana,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,260
Indiana,Age 35 to 44 years,Other,Estimate,174965
Indiana,Age 35 to 44 years,Other,Margin of Error,1138
Indiana,Age 45 to 59 years,Total persons,Estimate,1339495
Indiana,Age 45 to 59 years,Total persons,Margin of Error,2931
Indiana,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,1139095
Indiana,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,2806
Indiana,Age 45 to 59 years,Other,Estimate,200400
Indiana,Age 45 to 59 years,Other,Margin of Error,1564
Indiana,Age 60 to 64 years,Total persons,Estimate,392120
Indiana,Age 60 to 64 years,Total persons,Margin of Error,2980
Indiana,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,345520
Indiana,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,2823
Indiana,Age 60 to 64 years,Other,Estimate,46600
Indiana,Age 60 to 64 years,Other,Margin of Error,1213
Indiana,Age 65 to 74 years,Total persons,Estimate,535845
Indiana,Age 65 to 74 years,Total persons,Margin of Error,640
Indiana,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,481975
Indiana,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,98
Indiana,Age 65 to 74 years,Other,Estimate,53875
Indiana,Age 65 to 74 years,Other,Margin of Error,660
Indiana,Age 75 years and over,Total persons,Estimate,404475
Indiana,Age 75 years and over,Total persons,Margin of Error,634
Indiana,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,370440
Indiana,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,104
Indiana,Age 75 years and over,Other,Estimate,34040
Indiana,Age 75 years and over,Other,Margin of Error,653
Iowa,"Total, all ages",Total persons,Estimate,3106590
Iowa,"Total, all ages","White alone, not Hispanic/Latino",Estimate,2701600
Iowa,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,671
Iowa,"Total, all ages",Other,Estimate,404990
Iowa,"Total, all ages",Other,Margin of Error,671
Iowa,Age 0 to 16 years,Total persons,Estimate,647000
Iowa,Age 0 to 16 years,Total persons,Margin of Error,1256
Iowa,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,509770
Iowa,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1002
Iowa,Age 0 to 16 years,Other,Estimate,137225
Iowa,Age 0 to 16 years,Other,Margin of Error,833
Iowa,Age 16 and 17 years,Total persons,Estimate,80515
Iowa,Age 16 and 17 years,Total persons,Margin of Error,1116
Iowa,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,66250
Iowa,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,897
Iowa,Age 16 and 17 years,Other,Estimate,14270
Iowa,Age 16 and 17 years,Other,Margin of Error,555
Iowa,Age 18 to 20 years,Total persons,Estimate,142460
Iowa,Age 18 to 20 years,Total persons,Margin of Error,1568
Iowa,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,115955
Iowa,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1300
Iowa,Age 18 to 20 years,Other,Estimate,26505
Iowa,Age 18 to 20 years,Other,Margin of Error,944
Iowa,Age 21 to 24 years,Total persons,Estimate,177775
Iowa,Age 21 to 24 years,Total persons,Margin of Error,1668
Iowa,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,146290
Iowa,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1307
Iowa,Age 21 to 24 years,Other,Estimate,31490
Iowa,Age 21 to 24 years,Other,Margin of Error,999
Iowa,Age 25 to 34 years,Total persons,Estimate,391275
Iowa,Age 25 to 34 years,Total persons,Margin of Error,931
Iowa,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,327065
Iowa,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,172
Iowa,Age 25 to 34 years,Other,Estimate,64210
Iowa,Age 25 to 34 years,Other,Margin of Error,907
Iowa,Age 35 to 44 years,Total persons,Estimate,364625
Iowa,Age 35 to 44 years,Total persons,Margin of Error,879
Iowa,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,311535
Iowa,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,198
Iowa,Age 35 to 44 years,Other,Estimate,53090
Iowa,Age 35 to 44 years,Other,Margin of Error,930
Iowa,Age 45 to 59 years,Total persons,Estimate,618095
Iowa,Age 45 to 59 years,Total persons,Margin of Error,2097
Iowa,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,566625
Iowa,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,1703
Iowa,Age 45 to 59 years,Other,Estimate,51470
Iowa,Age 45 to 59 years,Other,Margin of Error,1040
Iowa,Age 60 to 64 years,Total persons,Estimate,194060
Iowa,Age 60 to 64 years,Total persons,Margin of Error,1879
Iowa,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,183940
Iowa,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,1709
Iowa,Age 60 to 64 years,Other,Estimate,10120
Iowa,Age 60 to 64 years,Other,Margin of Error,624
Iowa,Age 65 to 74 years,Total persons,Estimate,259860
Iowa,Age 65 to 74 years,Total persons,Margin of Error,444
Iowa,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,249765
Iowa,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,46
Iowa,Age 65 to 74 years,Other,Estimate,10095
Iowa,Age 65 to 74 years,Other,Margin of Error,440
Iowa,Age 75 years and over,Total persons,Estimate,230920
Iowa,Age 75 years and over,Total persons,Margin of Error,339
Iowa,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,224410
Iowa,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,43
Iowa,Age 75 years and over,Other,Estimate,6515
Iowa,Age 75 years and over,Other,Margin of Error,335
Kansas,"Total, all ages",Total persons,Estimate,2898290
Kansas,"Total, all ages","White alone, not Hispanic/Latino",Estimate,2227045
Kansas,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,428
Kansas,"Total, all ages",Other,Estimate,671250
Kansas,"Total, all ages",Other,Margin of Error,427
Kansas,Age 0 to 16 years,Total persons,Estimate,642375
Kansas,Age 0 to 16 years,Total persons,Margin of Error,1066
Kansas,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,429775
Kansas,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,881
Kansas,Age 0 to 16 years,Other,Estimate,212600
Kansas,Age 0 to 16 years,Other,Margin of Error,790
Kansas,Age 16 and 17 years,Total persons,Estimate,78970
Kansas,Age 16 and 17 years,Total persons,Margin of Error,935
Kansas,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,55400
Kansas,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,843
Kansas,Age 16 and 17 years,Other,Estimate,23570
Kansas,Age 16 and 17 years,Other,Margin of Error,635
Kansas,Age 18 to 20 years,Total persons,Estimate,128215
Kansas,Age 18 to 20 years,Total persons,Margin of Error,1971
Kansas,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,89280
Kansas,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1406
Kansas,Age 18 to 20 years,Other,Estimate,38935
Kansas,Age 18 to 20 years,Other,Margin of Error,973
Kansas,Age 21 to 24 years,Total persons,Estimate,170235
Kansas,Age 21 to 24 years,Total persons,Margin of Error,1935
Kansas,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,121475
Kansas,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1391
Kansas,Age 21 to 24 years,Other,Estimate,48760
Kansas,Age 21 to 24 years,Other,Margin of Error,949
Kansas,Age 25 to 34 years,Total persons,Estimate,384325
Kansas,Age 25 to 34 years,Total persons,Margin of Error,906
Kansas,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,281570
Kansas,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,320
Kansas,Age 25 to 34 years,Other,Estimate,102760
Kansas,Age 25 to 34 years,Other,Margin of Error,835
Kansas,Age 35 to 44 years,Total persons,Estimate,345605
Kansas,Age 35 to 44 years,Total persons,Margin of Error,717
Kansas,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,258915
Kansas,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,154
Kansas,Age 35 to 44 years,Other,Estimate,86685
Kansas,Age 35 to 44 years,Other,Margin of Error,729
Kansas,Age 45 to 59 years,Total persons,Estimate,564065
Kansas,Age 45 to 59 years,Total persons,Margin of Error,1837
Kansas,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,467700
Kansas,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,1460
Kansas,Age 45 to 59 years,Other,Estimate,96365
Kansas,Age 45 to 59 years,Other,Margin of Error,1119
Kansas,Age 60 to 64 years,Total persons,Estimate,168975
Kansas,Age 60 to 64 years,Total persons,Margin of Error,1777
Kansas,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,146855
Kansas,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,1450
Kansas,Age 60 to 64 years,Other,Estimate,22120
Kansas,Age 60 to 64 years,Other,Margin of Error,785
Kansas,Age 65 to 74 years,Total persons,Estimate,226565
Kansas,Age 65 to 74 years,Total persons,Margin of Error,456
Kansas,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,201890
Kansas,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,101
Kansas,Age 65 to 74 years,Other,Estimate,24675
Kansas,Age 65 to 74 years,Other,Margin of Error,465
Kansas,Age 75 years and over,Total persons,Estimate,188960
Kansas,Age 75 years and over,Total persons,Margin of Error,377
Kansas,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,174180
Kansas,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,63
Kansas,Age 75 years and over,Other,Estimate,14780
Kansas,Age 75 years and over,Other,Margin of Error,369
Kentucky,"Total, all ages",Total persons,Estimate,4411990
Kentucky,"Total, all ages","White alone, not Hispanic/Latino",Estimate,3766345
Kentucky,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,694
Kentucky,"Total, all ages",Other,Estimate,645645
Kentucky,"Total, all ages",Other,Margin of Error,694
Kentucky,Age 0 to 16 years,Total persons,Estimate,900925
Kentucky,Age 0 to 16 years,Total persons,Margin of Error,1704
Kentucky,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,712750
Kentucky,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1339
Kentucky,Age 0 to 16 years,Other,Estimate,188175
Kentucky,Age 0 to 16 years,Other,Margin of Error,960
Kentucky,Age 16 and 17 years,Total persons,Estimate,113265
Kentucky,Age 16 and 17 years,Total persons,Margin of Error,1532
Kentucky,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,93330
Kentucky,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1274
Kentucky,Age 16 and 17 years,Other,Estimate,19935
Kentucky,Age 16 and 17 years,Other,Margin of Error,657
Kentucky,Age 18 to 20 years,Total persons,Estimate,182625
Kentucky,Age 18 to 20 years,Total persons,Margin of Error,2149
Kentucky,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,146070
Kentucky,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1659
Kentucky,Age 18 to 20 years,Other,Estimate,36555
Kentucky,Age 18 to 20 years,Other,Margin of Error,1275
Kentucky,Age 21 to 24 years,Total persons,Estimate,245100
Kentucky,Age 21 to 24 years,Total persons,Margin of Error,1972
Kentucky,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,200680
Kentucky,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1679
Kentucky,Age 21 to 24 years,Other,Estimate,44420
